source_file_name,source_row_number,street,from_street,to_street,start,finish,addid,addy_from,addy_to,rating_from,rating_to,geojson_from,geojson_to
G_P Schedule as of 1-5-2017.pdf,1,NE 122nd Ave, Stanton,Halsey,01/09/17,01/13/17,1,"2899 NE 122nd Ave, Portland, OR 97230","1501 NE 122nd Ave, Portland, OR 97230",3,3,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.537466,45.54275]}","{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.537636,45.533574]}"
G_P Schedule as of 1-5-2017.pdf,2,NE 102nd Ave, Burnside St,Weidler St,02/27/17,03/15/17,2,"100 SE 102nd Ave, Portland, OR 97216","1598 NE 102nd Ave, Portland, OR 97220",3,3,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.55829,45.522641]}","{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.558042,45.534127]}"
G_P Schedule as of 1-5-2017.pdf,3,SE 17th Ave, Andover Pl,Clatsop St,02/03/17,02/06/17,3,,"8598 SE 17th Ave, Portland, OR 97202",-1,3,,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.647043,45.460754]}"
G_P Schedule as of 1-5-2017.pdf,4,SE Clinton St, 21st Ave,26th Ave,02/07/17,02/09/17,4,"2099 SE Clinton St, Portland, OR 97202","2599 SE Clinton St, Portland, OR 97202",3,3,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.644621,45.503394]}","{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.639652,45.503434]}"
G_P Schedule as of 1-5-2017.pdf,5,SW Jefferson St, 841'W of 20th Ave (N side),Park Ave (W leg),02/10/17," 02/27/17
",5,,"900 SW Jefferson St, Portland, OR 97201",-1,3,,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.683269,45.515741]}"
G_P Schedule as of 1-5-2017.pdf,24,SE Tolman St, Bybee Blvd,118'E of 36th Ave,10/04/17,10/11/17,22,"2701 SE Tolman St, Portland, OR 97202",,3,-1,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.635835,45.474364]}",
G_P Schedule as of 1-5-2017.pdf,25,N Williams Ave, Beech St,Jessup St,10/12/17,10/26/17,23,"3701 N Williams Ave, Portland, OR 97227","5701 N Williams Ave, Portland, OR 97217",2,2,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.666712,45.549533]}","{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.666907,45.563886]}"
G_P Schedule as of 1-5-2017.pdf,26,SE Harold St, 52nd Ave,Foster Rd,10/27/17,11/15/17,24,"5199 SE Harold St, Portland, OR 97206","8199 SE Harold St, Portland, OR 97206",3,3,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.608737,45.48272]}","{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.579624,45.483051]}"
G_P Schedule as of 1-5-2017.pdf,27,SE Harold St, 92nd Ave,96th Ave,11/16/17,11/17/17,25,"9201 SE Harold St, Portland, OR 97266","9601 SE Harold St, Portland, OR 97266",3,3,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.568603,45.482818]}","{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.564706,45.482704]}"
G_P Schedule as of 1-5-2017.pdf,29,N Willamette Blvd, 1041'W of Macrum Ave,Wall Ave,12/28/17,01/03/17,27,,"6100 N Willamette Blvd, Portland, OR 97203",-1,2,,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.734254,45.578431]}"
G_P Schedule as of 1-5-2017.pdf,30,N Albina, Prescott St,Ainsworth St,01/04/18,01/15/18,28,"4499 N Albina Ave, Portland, OR 97217","6001 N Albina Ave, Portland, OR 97217",6,6,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.674448,45.555495]}","{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.67492,45.566414]}"
G_P Schedule as of 1-5-2017.pdf,31,SE 27th Ave, Crystal Springs Blvd,Bybee Blvd,01/16/18,01/23/18,29,"7998 SE 27th Ave, Portland, OR 97202","7000 SE 27th Ave, Portland, OR 97202",3,3,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.635487,45.467697]}","{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.63766,45.474365]}"
G_P Schedule as of 1-5-2017.pdf,32,N Killingsworth St, Borthwick Ave,Williams Ave,01/24/18,01/29/18,30,"700 N Killingsworth St, Portland, OR 97217","2 N Killingsworth St, Portland, OR 97217",2,2,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.67395,45.562685]}","{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.666921,45.562717]}"
G_P Schedule as of 1-5-2017.pdf,34,NW Thurman St, 26th Ave,15th Ave,02/08/18,02/19/18,32,"2600 NW Thurman St, Portland, OR 97210","1500 NW Thurman St, Portland, OR 97209",3,3,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.70483,45.535381]}","{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.68665,45.535716]}"
G_P Schedule as of 1-5-2017.pdf,6,SW Morrison St, 18th Ave,11th Ave,02/28/17,03/01/17,6,"1798 SW Morrison St, Portland, OR 97205","1100 SW Morrison St, Portland, OR 97205",3,3,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.69013,45.522164]}","{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.683122,45.520283]}"
G_P Schedule as of 1-5-2017.pdf,7,SW Arthur St, 3rd Ave,241'E of 1st Ave,03/22/17,03/24/17,7,"300 SW Arthur St, Portland, OR 97201",,3,-1,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.68087,45.503744]}",
