source_file_name,source_row_number,street,from_street,to_street,start,finish,addid,addy_from,addy_to,rating_from,rating_to,geojson_from,geojson_to
Pavement Moratorium.csv,37,318 Sw 3Rd Ave,Sw Stark St,Sw Oak St,3/28/2013,3/28/2018,69,,,-1,-1,,
Pavement Moratorium.csv,38,Ne 8Th Ave- ,Ne Hancock St,,3/25/2013,3/25/2018,70,,,-1,-1,,
Pavement Moratorium.csv,1,Se 29Th Ave,Clay St,,11/3/2011,11/3/2016,33,"1598 SE 29th Ave, Portland, OR 97214",,3,-1,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.63612,45.511197]}",
Pavement Moratorium.csv,2,Sw Montgomery Dr,Clifton St,,1/29/2012,1/29/2017,34,"2098 SW Montgomery Dr, Portland, OR 97201",,3,-1,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.699646,45.512497]}",
Pavement Moratorium.csv,3,Ne 52Nd Ave,Clackamas St,Halsey St,1/16/2012,1/16/2017,35,"1399 NE 52nd Ave, Portland, OR 97213","1501 NE 52nd Ave, Portland, OR 97213",3,3,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.610113,45.532994]}","{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.610018,45.533728]}"
Pavement Moratorium.csv,4,W Burnside St ,325' E Of Maywood Dr,503' E Of Maywood Rd,3/15/2012,3/15/2017,36,,,-1,-1,,
Pavement Moratorium.csv,5,W Burnside St ,Macleay Blvd,Maywood Dr,2/14/2012,2/14/2017,37,"2798 W Burnside St, Portland, OR 97210","2700 W Burnside St, Portland, OR 97210",2,2,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.709738,45.523427]}","{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.70749,45.523923]}"
Pavement Moratorium.csv,6,Ne 15Th Ave ,Hancock St,,3/1/2012,3/1/2017,38,"1901 NE 15th Ave, Portland, OR 97212",,3,-1,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.650475,45.536464]}",
Pavement Moratorium.csv,7,Ne 9Th Ave ,Halsey St,Broadway,3/1/2012,3/1/2017,39,"1501 NE 9th Ave, Portland, OR 97212","1701 NE 9th Ave, Portland, OR 97212",3,3,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.656588,45.533626]}","{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.656572,45.535058]}"
Pavement Moratorium.csv,8,Nw Glisan St - ,13Th Ave,11Th Ave,2/16/2012,2/16/2017,40,"1300 NW Glisan St, Portland, OR 97209","1098 NW Glisan St, Portland, OR 97209",3,3,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.684278,45.526486]}","{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.682249,45.526523]}"
Pavement Moratorium.csv,9,Nw Thurman St,Gordon St,31St Ave,9/6/2012,9/6/2017,41,"3599 NW Thurman St, Portland, OR 97210","3100 NW Thurman St, Portland, OR 97210",3,3,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.719659,45.5385]}","{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.713654,45.535736]}"
Pavement Moratorium.csv,10,Nw 16Th Ave,Lovejoy,Thurman St,8/9/2012,8/9/2017,42,"1001 NW 16th Ave, Portland, OR 97209","1899 NW 16th Ave, Portland, OR 97209",3,3,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.687473,45.529992]}","{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""urn:ogc:def:crs:EPSG::4269""}},""coordinates"":[-122.687666,45.535699]}"
